Provinceï»¿,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aceh, 329 257, 356 132, 371 838, 406 835, 415 354,451 952 , 529 162, 547 668, 559 300, 595 635, 643 591, 668 481, 702 547, 722 434
Sumatera Utara, 316 343, 344 467, 363 363, 398 932, 414 566,472 220 , 522 766, 554 754, 576 323, 598 245, 607 812, 663 927, 707 588, 734 270
Sumatera Barat, 358 338, 390 870, 419 853, 461 404, 472 428,537 236 , 584 045, 604 871, 609 258, 644 853, 668 029, 716 262, 747 469, 797 728
Riau, 385 949, 432 511, 468 503, 481 965, 495 322,556 747 , 603 401, 599 873, 621 748, 668 074, 672 143, 730 826, 776 145, 824 229
Jambi, 324 197, 336 737, 377 133, 403 659, 428 457,464 381 , 538 360, 555 989, 560 542, 590 173, 613 753, 663 021, 720 949, 773 667
Sumatera Selatan, 300 453, 308 027, 353 213, 390 807, 379 945,446 364 , 507 673, 503 297, 498 929, 535 136, 579 032, 620 732, 647 779, 711 510
Bengkulu, 294 975, 330 123, 348 161, 384 146, 413 263,447 384 , 523 329, 548 879, 542 423, 573 500, 580 273, 626 209, 679 166, 724 415
Lampung, 261 519, 283 870, 314 408, 340 844, 382 368,412 617 , 467 940, 478 452, 484 800, 503 976, 539 964, 575 673, 627 879, 656 937
Kepulauan Bangka Belitung, 391 606, 418 496, 491 121, 551 960, 578 812,596 381 , 721 045, 710 401, 751 641, 771 121, 783 204, 881 622, 879 797, 929 142
Kepulauan Riau, 431 248, 470 371, 508 569, 574 814, 602 071,681 525 , 759 544, 747 944, 789 057, 800 424, 828 206, 846 222, 863 530, 938 634
DKI Jakarta, 457 669, 519 028, 603 269, 623 186, 615 486,692 207 , 797 828, 847 847, 877 449, 944 687, 923 933, 953 321,1 055 896,1 108 228
Jawa Barat, 297 590, 340 757, 371 881, 380 224, 425 883,477 814 , 562 767, 600 967, 629 741, 655 838, 677 383, 708 390, 761 832, 803 842
Jawa Tengah, 229 775, 262 761, 281 921, 319 872, 330 646,371 605 , 421 515, 460 891, 469 421, 496 173, 519 009, 572 808, 601 528, 647 311
DI Yogyakarta, 276 323, 327 241, 353 778, 335 550, 365 012,434 004 , 490 249, 529 012, 546 445, 579 279, 594 622, 628 845, 722 132, 748 182
Jawa Timur, 245 743, 255 081, 286 962, 339 175, 380 993,427 191 , 476 861, 502 761, 502 892, 521 577, 557 791, 600 848, 657 408, 689 148
Banten, 328 623, 370 088, 420 422, 455 522, 483 956,532 389 , 623 084, 672 918, 702 322, 756 673, 744 893, 830 111, 847 452, 873 268
Bali, 326 490, 330 963, 449 048, 471 149, 421 577,465 993 , 569 168, 599 976, 609 181, 675 146, 628 472, 609 855, 729 755, 804 982
Nusa Tenggara Barat, 248 690, 291 176, 316 656, 366 885, 355 034,410 112 , 457 616, 525 091, 539 864, 574 202, 637 898, 666 966, 711 180, 730 071
Nusa Tenggara Timur, 222 575, 228 660, 240 207, 267 584, 298 180,312 312 , 399 251, 402 922, 429 498, 442 700, 468 252, 480 749, 516 672, 541 265
Kalimantan Barat, 312 711, 351 590, 367 018, 420 130, 426 381,451 222 , 519 469, 535 534, 561 142, 584 259, 603 291, 666 066, 695 043, 735 785
Kalimantan Tengah, 375 767, 388 822, 418 274, 495 159, 494 858,546 306 , 621 622, 632 493, 650 759, 675 948, 713 145, 762 634, 787 550, 835 243
Kalimantan Selatan, 373 301, 380 306, 440 803, 456 699, 470 450,531 127 , 612 237, 626 241, 628 902, 675 979, 701 228, 727 961, 747 955, 799 948
Kalimantan Timur, 405 490, 450 614, 477 325, 516 036, 549 351,587 920 , 663 535, 702 905, 724 423, 790 469, 736 465, 813 448, 885 069, 925 954
Sulawesi Utara, 306 126, 344 033, 379 814, 395 996, 426 278,484 938 , 594 833, 560 514, 568 055, 590 062, 612 972, 674 114, 670 957, 717 919
Sulawesi Tengah, 287 260, 313 730, 320 823, 360 961, 383 546,420 182 , 480 987, 474 811, 505 608, 516 839, 512 309, 561 739, 602 468, 644 418
Sulawesi Selatan, 260 240, 286 410, 302 903, 330 220, 359 187,407 389 , 450 618, 495 465, 487 934, 516 183, 533 482, 566 224, 597 180, 636 655
Sulawesi Tenggara, 240 739, 271 348, 284 683, 291 923, 329 208,371 733 , 409 857, 457 497, 475 215, 506 740, 509 723, 535 048, 561 452, 604 047
Gorontalo, 256 106, 269 533, 276 334, 338 353, 326 512,380 934 , 441 999, 423 926, 452 958, 476 069, 529 729, 534 461, 590 966, 620 823
Sulawesi Barat, 225 501, 236 901, 278 355, 280 751, 330 890,357 586 , 393 943, 433 929, 445 427, 457 059, 453 031, 491 876, 530 104, 579 734
Maluku, 283 407, 320 271, 336 750, 388 284, 420 732,431 484 , 485 033, 491 426, 507 218, 532 135, 536 327, 589 485, 595 310, 640 897
Maluku Utara, 281 916, 286 031, 337 639, 367 971, 421 216,413 580 , 486 734, 502 810, 514 251, 537 605, 556 903, 585 162, 660 687, 726 547
Papua Barat, 367 893, 354 867, 416 901, 445 820, 512 796,482 624 , 551 032, 614 330, 667 673, 687 944, 698 303, 723 855, 773 831, 836 642
Papua, 330 865, 356 651, 379 876, 487 272, 473 382,524 592 , 638 354, 623 987, 665 292, 723 821, 792 781, 858 106, 866 059, 765 393
Indonesia, 293 556, 323 478, 356 435, 388 350, 412 462,460 639, 527 956, 556 899, 572 551, 603 236, 622 845, 665 757, 711 282, 751 789
